Time(s),CH1V,CH2V,CH4V
-1.760000e-03,6.953333e-02,1.246667e-02,-8.533333e-03
-1.740000e-03,6.680000e-02,1.645333e-02,-8.400000e-03
-1.720000e-03,6.213333e-02,1.377333e-02,-8.800000e-03
-1.700000e-03,6.446667e-02,8.626667e-03,-7.733333e-03
-1.680000e-03,7.060000e-02,1.184000e-02,-9.866667e-03
-1.660000e-03,6.806666e-02,1.589333e-02,-9.333333e-03
-1.640000e-03,6.473333e-02,1.445333e-02,-8.800000e-03
-1.620000e-03,6.306667e-02,9.706667e-03,-9.333333e-03
-1.600000e-03,6.680000e-02,1.153333e-02,-9.600000e-03
-1.580000e-03,6.866667e-02,1.500000e-02,-7.333334e-03
-1.560000e-03,6.393334e-02,1.462667e-02,-8.266667e-03
-1.540000e-03,6.280000e-02,9.506667e-03,-9.066666e-03
-1.520000e-03,6.313334e-02,1.065333e-02,-8.666667e-03
-1.500000e-03,6.840000e-02,1.609333e-02,-7.333334e-03
-1.480000e-03,6.500000e-02,1.500000e-02,-7.733333e-03
-1.460000e-03,6.766666e-02,9.746667e-03,-8.400000e-03
-1.440000e-03,6.880000e-02,9.640000e-03,-1.053333e-02
-1.420000e-03,6.606667e-02,1.462667e-02,-7.466667e-03
-1.400000e-03,6.393334e-02,1.592000e-02,-8.800000e-03
-1.380000e-03,6.386667e-02,9.946667e-03,-9.866667e-03
-1.360000e-03,6.473333e-02,9.880000e-03,-9.066666e-03
-1.340000e-03,6.580000e-02,1.446667e-02,-9.200000e-03
-1.320000e-03,6.433333e-02,1.592000e-02,-7.600000e-03
-1.300000e-03,6.106667e-02,1.218667e-02,-1.040000e-02
-1.280000e-03,6.600000e-02,1.018667e-02,-7.600000e-03
-1.260000e-03,6.926667e-02,1.326667e-02,-9.733333e-03
-1.240000e-03,6.580000e-02,1.636000e-02,-8.666667e-03
-1.220000e-03,6.480000e-02,1.101333e-02,-8.400000e-03
-1.200000e-03,6.600000e-02,9.333333e-03,-8.933334e-03
-1.180000e-03,7.046667e-02,1.214667e-02,-1.000000e-02
-1.160000e-03,6.880000e-02,1.529333e-02,-8.533333e-03
-1.140000e-03,6.566667e-02,1.305333e-02,-1.026667e-02
-1.120000e-03,6.626667e-02,7.946666e-03,-8.933334e-03
-1.100000e-03,7.146667e-02,1.305333e-02,-9.200000e-03
-1.080000e-03,6.840000e-02,1.734667e-02,-1.053333e-02
-1.060000e-03,6.580000e-02,1.470667e-02,-7.200000e-03
-1.040000e-03,6.513333e-02,9.173334e-03,-9.466667e-03
-1.020000e-03,6.806666e-02,1.117333e-02,-8.533333e-03
-1.000000e-03,6.833334e-02,1.649333e-02,-8.933334e-03
-9.800000e-04,6.380000e-02,1.449333e-02,-8.533333e-03
-9.600000e-04,6.473333e-02,8.946666e-03,-1.080000e-02
-9.400000e-04,6.713334e-02,1.120000e-02,-7.333334e-03
-9.200000e-04,6.580000e-02,1.516000e-02,-1.106667e-02
-9.000000e-04,6.586666e-02,1.444000e-02,-1.106667e-02
-8.800000e-04,6.246667e-02,1.048000e-02,-8.400000e-03
-8.600000e-04,7.033333e-02,1.134667e-02,-8.533333e-03
-8.400000e-04,6.880000e-02,1.498667e-02,-1.106667e-02
-8.200000e-04,6.460000e-02,1.533333e-02,-8.666667e-03
-8.000000e-04,6.633333e-02,9.826667e-03,-9.333333e-03
-7.800000e-04,6.633333e-02,1.029333e-02,-9.066666e-03
-7.600000e-04,6.426667e-02,1.406667e-02,-9.333333e-03
-7.400000e-04,6.626667e-02,1.689333e-02,-8.533333e-03
-7.200000e-04,6.513333e-02,1.040000e-02,-9.866667e-03
-7.000000e-04,6.660000e-02,8.960000e-03,-7.200000e-03
-6.800000e-04,6.933334e-02,1.385333e-02,-9.733333e-03
-6.600000e-04,6.860000e-02,1.758667e-02,-9.466667e-03
-6.400000e-04,6.340000e-02,1.094667e-02,-8.133333e-03
-6.200000e-04,6.766666e-02,8.600000e-03,-8.933334e-03
-6.000000e-04,6.840000e-02,1.380000e-02,-8.933334e-03
-5.800000e-04,6.820000e-02,1.697333e-02,-8.666667e-03
-5.600000e-04,6.353334e-02,1.182667e-02,-8.533333e-03
-5.400000e-04,6.533334e-02,9.346667e-03,-9.733333e-03
-5.200000e-04,7.140000e-02,1.334667e-02,-7.200000e-03
-5.000000e-04,6.593333e-02,1.624000e-02,-9.066666e-03
-4.800000e-04,6.313334e-02,1.200000e-02,-8.133333e-03
-4.600000e-04,6.393334e-02,9.013333e-03,-1.093333e-02
-4.400000e-04,6.753334e-02,1.256000e-02,-8.000000e-03
-4.200000e-04,6.700000e-02,1.582667e-02,-9.466667e-03
-4.000000e-04,6.413333e-02,1.310667e-02,-8.000000e-03
-3.800000e-04,6.926667e-02,8.426666e-03,-1.053333e-02
-3.600000e-04,6.840000e-02,1.241333e-02,-8.266667e-03
-3.400000e-04,6.766666e-02,1.562667e-02,-6.933333e-03
-3.200000e-04,6.160000e-02,1.500000e-02,-8.133333e-03
-3.000000e-04,6.340000e-02,9.440000e-03,-6.800000e-03
-2.800000e-04,6.733333e-02,1.174667e-02,-8.533333e-03
-2.600000e-04,6.873333e-02,1.608000e-02,-1.080000e-02
-2.400000e-04,6.506667e-02,1.421333e-02,-9.733333e-03
-2.200000e-04,6.393334e-02,8.560000e-03,-9.200000e-03
-2.000000e-04,6.613334e-02,1.046667e-02,-7.200000e-03
-1.800000e-04,7.080000e-02,1.676000e-02,-1.000000e-02
-1.600000e-04,6.680000e-02,1.648000e-02,-8.533333e-03
-1.400000e-04,6.553333e-02,9.613333e-03,-9.200000e-03
-1.200000e-04,6.880000e-02,9.240000e-03,-8.266667e-03
-1.000000e-04,7.080000e-02,1.542667e-02,-1.026667e-02
-8.000000e-05,6.620000e-02,1.672000e-02,-9.600000e-03
-6.000000e-05,6.080000e-02,1.116000e-02,-1.146667e-02
-4.000000e-05,6.853333e-02,8.800000e-03,-8.533333e-03
-2.000000e-05,7.106667e-02,1.408000e-02,-8.800000e-03
3.415237e-18,6.740000e-02,1.646667e-02,5.866667e-03
2.000000e-05,5.333333e-04,1.804000e-02,-1.040000e-02
4.000000e-05,1.612667e+00,3.120667e-01,-1.106667e-02
6.000000e-05,1.580600e+00,-4.409333e-02,-1.160000e-02
8.000000e-05,1.566200e+00,-2.898933e-01,-1.426667e-02
1.000000e-04,1.554200e+00,1.497333e-02,-1.026667e-02
1.200000e-04,1.529467e+00,3.076667e-01,-9.200000e-03
1.400000e-04,1.491733e+00,6.114667e-02,-1.133333e-02
1.600000e-04,1.467467e+00,-2.619733e-01,-1.200000e-02
1.800000e-04,1.441200e+00,-8.129333e-02,-1.026667e-02
2.000000e-04,1.404067e+00,2.568400e-01,-9.066666e-03
2.200000e-04,1.350333e+00,1.423733e-01,-1.040000e-02
2.400000e-04,1.310067e+00,-1.950133e-01,-1.226667e-02
2.600000e-04,1.274267e+00,-1.402133e-01,-1.026667e-02
2.800000e-04,1.228533e+00,1.810933e-01,-1.093333e-02
3.000000e-04,1.163733e+00,1.792133e-01,-9.866667e-03
3.200000e-04,1.115067e+00,-1.151333e-01,-1.280000e-02
3.400000e-04,1.067800e+00,-1.568800e-01,-9.733333e-03
3.600000e-04,1.017400e+00,1.038000e-01,-1.080000e-02
3.800000e-04,9.520000e-01,1.763067e-01,-1.040000e-02
4.000000e-04,8.780000e-01,-4.509333e-02,-1.360000e-02
4.200000e-04,8.265333e-01,-1.354933e-01,-1.266667e-02
4.400000e-04,7.801334e-01,4.637333e-02,-8.133333e-03
4.600000e-04,7.128667e-01,1.425733e-01,-1.000000e-02
4.800000e-04,6.438667e-01,-4.013333e-03,-1.053333e-02
