Time(s),CH1V,CH2V,CH4V
-1.760000e-03,6.573334e-02,1.590667e-02,-9.600000e-03
-1.740000e-03,6.320000e-02,1.185333e-02,-9.200000e-03
-1.720000e-03,6.066667e-02,1.062667e-02,-6.933333e-03
-1.700000e-03,6.946667e-02,1.017333e-02,-1.000000e-02
-1.680000e-03,7.286667e-02,1.386667e-02,-9.466667e-03
-1.660000e-03,6.886667e-02,1.590667e-02,-8.800000e-03
-1.640000e-03,6.200000e-02,1.430667e-02,-9.066666e-03
-1.620000e-03,6.200000e-02,1.110667e-02,-7.333334e-03
-1.600000e-03,6.313334e-02,8.640000e-03,-7.600000e-03
-1.580000e-03,7.100000e-02,1.134667e-02,-7.333334e-03
-1.560000e-03,6.526667e-02,1.470667e-02,-8.666667e-03
-1.540000e-03,6.766666e-02,1.706667e-02,-8.666667e-03
-1.520000e-03,6.386667e-02,1.320000e-02,-9.600000e-03
-1.500000e-03,6.880000e-02,9.413334e-03,-8.533333e-03
-1.480000e-03,6.700000e-02,9.906666e-03,-6.666667e-03
-1.460000e-03,6.986666e-02,1.402667e-02,-8.400000e-03
-1.440000e-03,7.000000e-02,1.674667e-02,-8.400000e-03
-1.420000e-03,6.486667e-02,1.498667e-02,-8.666667e-03
-1.400000e-03,6.033333e-02,1.174667e-02,-8.533333e-03
-1.380000e-03,6.640000e-02,8.960000e-03,-8.666667e-03
-1.360000e-03,6.680000e-02,1.169333e-02,-8.266667e-03
-1.340000e-03,6.846667e-02,1.568000e-02,-8.266667e-03
-1.320000e-03,6.620000e-02,1.712000e-02,-9.733333e-03
-1.300000e-03,6.273334e-02,1.320000e-02,-9.333333e-03
-1.280000e-03,6.353334e-02,9.546666e-03,-9.066666e-03
-1.260000e-03,6.926667e-02,9.160000e-03,-8.133333e-03
-1.240000e-03,6.806666e-02,1.396000e-02,-9.200000e-03
-1.220000e-03,6.760000e-02,1.700000e-02,-7.600000e-03
-1.200000e-03,6.593333e-02,1.574667e-02,-8.533333e-03
