Time(s),CH1V,CH2V,CH4V
1.000000e-04,1.015733e+00,-1.190667e-01,-1.306667e-02
1.200000e-04,9.966667e-01,-1.588800e-01,-1.306667e-02
1.400000e-04,9.758667e-01,3.480000e-02,-1.146667e-02
1.600000e-04,9.738000e-01,1.926800e-01,-1.026667e-02
1.800000e-04,9.749333e-01,1.063067e-01,-1.146667e-02
2.000000e-04,9.557334e-01,-1.030000e-01,-9.600000e-03
2.200000e-04,9.242000e-01,-1.505467e-01,-1.226667e-02
2.400000e-04,9.070667e-01,1.864000e-02,-1.000000e-02
2.600000e-04,9.034000e-01,1.761867e-01,-9.200000e-03
2.800000e-04,9.011334e-01,1.134933e-01,-9.866667e-03
3.000000e-04,8.873333e-01,-7.921334e-02,-9.200000e-03
3.200000e-04,8.638667e-01,-1.453600e-01,-1.133333e-02
3.400000e-04,8.512000e-01,-2.093333e-03,-1.080000e-02
3.600000e-04,8.524000e-01,1.593200e-01,-9.733333e-03
3.800000e-04,8.691334e-01,1.270400e-01,-8.266667e-03
4.000000e-04,8.590000e-01,-5.681333e-02,-1.160000e-02
4.200000e-04,8.512000e-01,-1.468933e-01,-1.093333e-02
4.400000e-04,8.368667e-01,-2.444000e-02,-1.106667e-02
4.600000e-04,8.490667e-01,1.476800e-01,-1.000000e-02
4.800000e-04,8.637334e-01,1.404267e-01,-1.000000e-02
5.000000e-04,8.670000e-01,-3.836000e-02,-9.866667e-03
5.200000e-04,8.593333e-01,-1.495867e-01,-1.200000e-02
5.400000e-04,8.481333e-01,-4.140000e-02,-1.186667e-02
5.600000e-04,8.596667e-01,1.401067e-01,-9.333333e-03
5.800000e-04,8.736000e-01,1.508000e-01,-9.066666e-03
6.000000e-04,8.729333e-01,-2.576000e-02,-8.000000e-03
6.200000e-04,8.650666e-01,-1.496133e-01,-1.160000e-02
6.400000e-04,8.519334e-01,-5.254667e-02,-1.200000e-02
6.600000e-04,8.488000e-01,1.333200e-01,-9.733333e-03
6.800000e-04,8.632000e-01,1.530800e-01,-6.666667e-03
7.000000e-04,8.536000e-01,-1.777333e-02,-9.466667e-03
7.200000e-04,8.384000e-01,-1.437600e-01,-1.360000e-02
7.400000e-04,8.238000e-01,-5.561333e-02,-1.306667e-02
7.600000e-04,8.172667e-01,1.221200e-01,-1.053333e-02
7.800000e-04,8.164000e-01,1.486800e-01,-7.066667e-03
8.000000e-04,8.114000e-01,-8.373333e-03,-9.066666e-03
8.200000e-04,7.900000e-01,-1.322800e-01,-1.266667e-02
8.400000e-04,7.583333e-01,-5.925333e-02,-1.240000e-02
8.600000e-04,7.514000e-01,1.063333e-01,-1.080000e-02
8.800000e-04,7.568667e-01,1.432933e-01,-1.226667e-02
9.000000e-04,7.480667e-01,6.120000e-03,-9.466667e-03
9.200000e-04,7.279333e-01,-1.169733e-01,-1.293333e-02
9.400000e-04,7.059333e-01,-6.617333e-02,-1.400000e-02
9.600000e-04,6.965333e-01,8.701333e-02,-1.160000e-02
9.800000e-04,7.034667e-01,1.385867e-01,-1.026667e-02
1.000000e-03,7.041333e-01,2.280000e-02,-8.666667e-03
1.020000e-03,6.862667e-01,-1.038267e-01,-1.133333e-02
1.040000e-03,6.780667e-01,-7.518667e-02,-1.266667e-02
1.060000e-03,6.705334e-01,7.208000e-02,-1.200000e-02
1.080000e-03,6.816000e-01,1.380133e-01,-1.133333e-02
1.100000e-03,6.853333e-01,3.796000e-02,-1.000000e-02
1.120000e-03,6.804000e-01,-9.544000e-02,-9.466667e-03
1.140000e-03,6.670667e-01,-8.234666e-02,-1.360000e-02
1.160000e-03,6.667333e-01,5.924000e-02,-1.226667e-02
1.180000e-03,6.786667e-01,1.385733e-01,-9.466667e-03
1.200000e-03,6.850000e-01,4.632000e-02,-1.053333e-02
1.220000e-03,6.814000e-01,-9.173334e-02,-1.213333e-02
1.240000e-03,6.616000e-01,-8.529333e-02,-1.386667e-02
1.260000e-03,6.607333e-01,5.420000e-02,-1.106667e-02
1.280000e-03,6.621333e-01,1.353067e-01,-9.866667e-03
1.300000e-03,6.649333e-01,4.712000e-02,-1.040000e-02
1.320000e-03,6.489334e-01,-8.576000e-02,-1.186667e-02
1.340000e-03,6.254666e-01,-8.044000e-02,-1.240000e-02
1.360000e-03,6.120667e-01,5.004000e-02,-1.120000e-02
1.380000e-03,6.148000e-01,1.260000e-01,-1.133333e-02
