Time(s),CH1V,CH4V
-7.620000e-06,-5.533333e-02,-4.533333e-03
-7.600000e-06,-1.200000e-02,-2.373333e-02
-7.580000e-06,-1.733333e-02,-1.466667e-02
-7.560000e-06,-6.666666e-04,-2.826667e-02
-7.540000e-06,2.666666e-02,-5.733334e-03
-7.520000e-06,2.133333e-02,1.013333e-02
-7.500000e-06,-1.733333e-02,-1.920000e-02
-7.480000e-06,-8.866666e-02,-1.693333e-02
-7.460000e-06,-6.133333e-02,-1.026667e-02
-7.440000e-06,-5.533333e-02,-8.000000e-03
-7.420000e-06,-1.200000e-02,-4.533333e-03
-7.400000e-06,-5.533333e-02,-1.200000e-03
-7.380000e-06,-4.466666e-02,-2.040000e-02
-7.360000e-06,-6.666666e-04,-3.466667e-03
-7.340000e-06,-6.133333e-02,-1.813333e-02
-7.320000e-06,-8.866666e-02,-3.280000e-02
-7.300000e-06,-2.800000e-02,-9.066666e-03
-7.280000e-06,-5.533333e-02,-1.920000e-02
-7.260000e-06,-3.933333e-02,7.866667e-03
-7.240000e-06,-6.666666e-02,3.333333e-03
-7.220000e-06,-7.199999e-02,-1.026667e-02
-7.200000e-06,-4.466666e-02,-2.146667e-02
-7.180000e-06,-3.400000e-02,-1.026667e-02
-7.160000e-06,-1.106667e-01,-3.053333e-02
-7.140000e-06,-6.666666e-02,-3.466667e-03
-7.120000e-06,-2.266666e-02,-2.146667e-02
-7.100000e-06,-2.266666e-02,-4.533333e-03
-7.080000e-06,-6.666666e-02,-2.146667e-02
-7.060000e-06,-2.266666e-02,-1.360000e-02
-7.040000e-06,-3.400000e-02,1.693333e-02
-7.020000e-06,-6.666666e-04,3.333333e-03
-7.000000e-06,-6.666666e-02,-1.693333e-02
-6.980000e-06,-1.106667e-01,-1.026667e-02
-6.960000e-06,-6.666666e-02,-1.466667e-02
-6.940000e-06,-3.933333e-02,5.600000e-03
-6.920000e-06,-6.666666e-04,1.013333e-02
-6.900000e-06,4.666666e-03,-1.026667e-02
-6.880000e-06,-5.533333e-02,-1.240000e-02
-6.860000e-06,-3.400000e-02,-2.146667e-02
-6.840000e-06,-1.433333e-01,-1.026667e-02
-6.820000e-06,-8.866666e-02,-3.466667e-03
-6.800000e-06,-2.266666e-02,7.866667e-03
-6.780000e-06,-1.733333e-02,4.533333e-03
-6.760000e-06,-9.933332e-02,-3.466667e-03
-6.740000e-06,-6.666666e-04,-9.066666e-03
-6.720000e-06,2.133333e-02,-3.466667e-03
-6.700000e-06,-4.466666e-02,-2.946667e-02
-6.680000e-06,-7.733332e-02,-1.693333e-02
-6.660000e-06,-3.933333e-02,-1.026667e-02
-6.640000e-06,-3.400000e-02,-1.240000e-02
-6.620000e-06,1.533333e-02,-2.266667e-03
-6.600000e-06,-2.266666e-02,3.333333e-03
-6.580000e-06,-2.266666e-02,-1.026667e-02
-6.560000e-06,-1.200000e-02,7.866667e-03
-6.540000e-06,-8.333333e-02,-2.493333e-02
-6.520000e-06,-6.666666e-02,-3.506667e-02
-6.500000e-06,-4.466666e-02,-5.733334e-03
-6.480000e-06,9.999999e-03,-1.240000e-02
-6.460000e-06,3.733333e-02,-4.533333e-03
-6.440000e-06,-4.466666e-02,-3.466667e-03
-6.420000e-06,-4.999999e-02,1.066667e-03
-6.400000e-06,-2.266666e-02,-5.733334e-03
-6.380000e-06,-4.466666e-02,-2.373333e-02
-6.360000e-06,-1.106667e-01,-2.826667e-02
-6.340000e-06,-5.533333e-02,-6.800000e-03
-6.320000e-06,9.999999e-03,3.333333e-03
-6.300000e-06,-7.733332e-02,0.000000e+00
-6.280000e-06,-9.933332e-02,7.866667e-03
-6.260000e-06,-3.933333e-02,-1.240000e-02
-6.240000e-06,-2.266666e-02,-1.240000e-02
-6.220000e-06,-4.466666e-02,-1.586667e-02
-6.200000e-06,-8.866666e-02,-1.693333e-02
-6.180000e-06,-6.666666e-02,-1.240000e-02
-6.160000e-06,-3.400000e-02,5.600000e-03
-6.140000e-06,1.533333e-02,-1.133333e-02
-6.120000e-06,-8.866666e-02,1.466667e-02
-6.100000e-06,-6.000000e-03,2.266667e-03
-6.080000e-06,-6.666666e-04,-1.920000e-02
-6.060000e-06,-1.733333e-02,-5.733334e-03
-6.040000e-06,-8.866666e-02,-2.373333e-02
-6.020000e-06,-2.800000e-02,-1.133333e-02
-6.000000e-06,-4.466666e-02,-1.693333e-02
-5.980000e-06,1.533333e-02,-1.360000e-02
-5.960000e-06,-5.533333e-02,-3.466667e-03
-5.940000e-06,-7.199999e-02,-1.026667e-02
-5.920000e-06,-5.533333e-02,-1.920000e-02
-5.900000e-06,-3.400000e-02,-1.586667e-02
-5.880000e-06,-6.666666e-02,-1.693333e-02
-5.860000e-06,-3.933333e-02,-3.466667e-03
-5.840000e-06,7.599999e-02,7.866667e-03
-5.820000e-06,9.999999e-03,-5.733334e-03
-5.800000e-06,-3.400000e-02,-1.466667e-02
-5.780000e-06,-2.800000e-02,-3.466667e-03
-5.760000e-06,-1.200000e-02,7.866667e-03
-5.740000e-06,-3.933333e-02,-2.600000e-02
-5.720000e-06,-1.653333e-01,-2.146667e-02
-5.700000e-06,-9.933332e-02,-1.813333e-02
-5.680000e-06,-2.266666e-02,-5.733334e-03
-5.660000e-06,2.133333e-02,-8.000000e-03
-5.640000e-06,-5.533333e-02,-3.960000e-02
-5.620000e-06,4.666666e-03,-1.466667e-02
-5.600000e-06,-1.200000e-02,-2.373333e-02
-5.580000e-06,-1.046667e-01,-1.813333e-02
-5.560000e-06,-1.326666e-01,-3.053333e-02
-5.540000e-06,-6.133333e-02,-2.266667e-02
-5.520000e-06,2.133333e-02,-3.466667e-03
-5.500000e-06,-3.400000e-02,-4.533333e-03
-5.480000e-06,-3.400000e-02,-1.026667e-02
-5.460000e-06,-5.533333e-02,-1.240000e-02
-5.440000e-06,2.133333e-02,-2.373333e-02
-5.420000e-06,-4.466666e-02,-1.133333e-02
-5.400000e-06,-1.213333e-01,-3.506667e-02
-5.380000e-06,-5.533333e-02,-1.920000e-02
-5.360000e-06,5.399999e-02,-1.693333e-02
-5.340000e-06,1.533333e-02,-1.466667e-02
-5.320000e-06,9.999999e-03,1.466667e-02
-5.300000e-06,-1.733333e-02,-8.000000e-03
-5.280000e-06,-1.200000e-02,-1.240000e-02
-5.260000e-06,9.999999e-03,-1.693333e-02
-5.240000e-06,-6.666666e-02,-1.240000e-02
-5.220000e-06,-4.466666e-02,-2.266667e-03
-5.200000e-06,-2.266666e-02,-3.466667e-03
-5.180000e-06,-3.933333e-02,5.600000e-03
-5.160000e-06,-4.466666e-02,-3.280000e-02
-5.140000e-06,4.666666e-03,-2.266667e-03
-5.120000e-06,-1.200000e-02,-1.693333e-02
-5.100000e-06,-5.533333e-02,-2.373333e-02
-5.080000e-06,-1.106667e-01,-3.506667e-02
-5.060000e-06,-3.933333e-02,-1.466667e-02
-5.040000e-06,-4.466666e-02,-2.146667e-02
-5.020000e-06,-4.999999e-02,-1.133333e-02
-5.000000e-06,-5.533333e-02,1.066667e-03
-4.980000e-06,-3.933333e-02,-1.813333e-02
-4.960000e-06,-4.466666e-02,-3.466667e-03
-4.940000e-06,-1.160000e-01,-5.733334e-03
-4.920000e-06,-1.653333e-01,-2.146667e-02
-4.900000e-06,-6.133333e-02,-1.586667e-02
-4.880000e-06,3.200000e-02,-1.466667e-02
-4.860000e-06,-2.800000e-02,-4.533333e-03
-4.840000e-06,-2.266666e-02,7.866667e-03
-4.820000e-06,-3.933333e-02,-5.733334e-03
-4.800000e-06,5.399999e-02,5.600000e-03
-4.780000e-06,-7.733332e-02,-1.693333e-02
-4.760000e-06,-6.666666e-02,-2.373333e-02
-4.740000e-06,-3.933333e-02,-1.920000e-02
-4.720000e-06,3.200000e-02,-3.466667e-03
-4.700000e-06,3.200000e-02,3.333333e-03
-4.680000e-06,-4.466666e-02,-1.693333e-02
-4.660000e-06,-5.533333e-02,-8.000000e-03
