Time(s),CH1V,CH2V,CH4V
-1.760000e-03,6.613334e-02,1.653333e-02,-8.666667e-03
-1.740000e-03,6.320000e-02,1.374667e-02,-8.266667e-03
-1.720000e-03,6.193333e-02,1.197333e-02,-6.933333e-03
-1.700000e-03,6.386667e-02,1.025333e-02,-8.933334e-03
-1.680000e-03,6.580000e-02,9.920000e-03,-7.066667e-03
-1.660000e-03,6.733333e-02,1.000000e-02,-6.533334e-03
-1.640000e-03,6.633333e-02,1.085333e-02,-8.533333e-03
-1.620000e-03,6.660000e-02,1.330667e-02,-8.266667e-03
-1.600000e-03,6.906667e-02,1.561333e-02,-7.066667e-03
-1.580000e-03,6.553333e-02,1.577333e-02,-9.466667e-03
-1.560000e-03,6.693333e-02,1.534667e-02,-8.133333e-03
-1.540000e-03,6.486667e-02,1.322667e-02,-9.200000e-03
-1.520000e-03,6.246667e-02,1.174667e-02,-8.266667e-03
-1.500000e-03,6.293333e-02,9.733333e-03,-8.800000e-03
-1.480000e-03,6.566667e-02,8.786666e-03,-7.333334e-03
-1.460000e-03,6.646667e-02,1.002667e-02,-7.200000e-03
-1.440000e-03,6.586666e-02,1.184000e-02,-8.000000e-03
-1.420000e-03,7.060000e-02,1.492000e-02,-9.066666e-03
-1.400000e-03,6.933334e-02,1.574667e-02,-5.333333e-03
-1.380000e-03,6.846667e-02,1.689333e-02,-7.733333e-03
-1.360000e-03,6.646667e-02,1.584000e-02,-8.266667e-03
-1.340000e-03,6.266667e-02,1.249333e-02,-9.333333e-03
-1.320000e-03,6.213333e-02,1.138667e-02,-9.066666e-03
-1.300000e-03,6.486667e-02,9.200000e-03,-7.200000e-03
-1.280000e-03,6.726667e-02,1.012000e-02,-6.533334e-03
-1.260000e-03,6.506667e-02,1.017333e-02,-7.733333e-03
-1.240000e-03,7.166667e-02,1.212000e-02,-8.933334e-03
-1.220000e-03,6.693333e-02,1.544000e-02,-6.666667e-03
-1.200000e-03,6.560000e-02,1.638667e-02,-7.600000e-03
-1.180000e-03,6.353334e-02,1.621333e-02,-8.666667e-03
-1.160000e-03,6.473333e-02,1.482667e-02,-8.133333e-03
-1.140000e-03,6.246667e-02,1.206667e-02,-7.600000e-03
-1.120000e-03,6.306667e-02,1.046667e-02,-8.666667e-03
-1.100000e-03,6.493334e-02,9.053334e-03,-8.800000e-03
-1.080000e-03,6.526667e-02,9.080000e-03,-9.200000e-03
-1.060000e-03,7.113333e-02,1.025333e-02,-8.400000e-03
-1.040000e-03,7.353333e-02,1.366667e-02,-8.666667e-03
-1.020000e-03,6.513333e-02,1.500000e-02,-7.200000e-03
