Time(s),CH1V,CH2V,CH4V
1.000000e-04,1.007533e+00,-1.784933e-01,-1.173333e-02
1.200000e-04,1.006467e+00,-5.208000e-02,-9.866667e-03
1.400000e-04,9.968000e-01,1.495467e-01,-8.933334e-03
1.600000e-04,9.764667e-01,1.811600e-01,-1.093333e-02
1.800000e-04,9.463333e-01,7.506667e-03,-1.133333e-02
2.000000e-04,9.402667e-01,-1.547867e-01,-1.120000e-02
2.200000e-04,9.389334e-01,-1.067733e-01,-1.066667e-02
2.400000e-04,9.253333e-01,8.688000e-02,-1.000000e-02
2.600000e-04,9.073333e-01,1.834933e-01,-9.733333e-03
2.800000e-04,8.856000e-01,6.634667e-02,-9.200000e-03
3.000000e-04,8.769333e-01,-1.142533e-01,-1.200000e-02
3.200000e-04,8.726667e-01,-1.320800e-01,-1.106667e-02
3.400000e-04,8.730000e-01,2.964000e-02,-1.066667e-02
3.600000e-04,8.637334e-01,1.688267e-01,-7.733333e-03
3.800000e-04,8.462000e-01,1.094800e-01,-1.173333e-02
4.000000e-04,8.454667e-01,-7.073333e-02,-1.440000e-02
4.200000e-04,8.482000e-01,-1.450933e-01,-1.053333e-02
4.400000e-04,8.556667e-01,-2.173333e-02,-6.133333e-03
4.600000e-04,8.572667e-01,1.457333e-01,-9.866667e-03
4.800000e-04,8.467333e-01,1.462400e-01,-9.200000e-03
5.000000e-04,8.482667e-01,-2.088000e-02,-8.666667e-03
5.200000e-04,8.548667e-01,-1.459333e-01,-1.146667e-02
5.400000e-04,8.678667e-01,-7.417333e-02,-1.066667e-02
5.600000e-04,8.653333e-01,1.060933e-01,-1.053333e-02
5.800000e-04,8.680667e-01,1.727600e-01,-1.026667e-02
6.000000e-04,8.558000e-01,4.098667e-02,-1.080000e-02
6.200000e-04,8.580000e-01,-1.244133e-01,-1.266667e-02
6.400000e-04,8.658667e-01,-1.203200e-01,-1.160000e-02
6.600000e-04,8.647333e-01,4.686667e-02,-8.400000e-03
6.800000e-04,8.593333e-01,1.714400e-01,-9.600000e-03
7.000000e-04,8.437334e-01,1.004800e-01,-1.160000e-02
7.200000e-04,8.323333e-01,-7.542667e-02,-1.026667e-02
7.400000e-04,8.292000e-01,-1.401200e-01,-1.066667e-02
7.600000e-04,8.260667e-01,-1.718667e-02,-7.066667e-03
7.800000e-04,8.190000e-01,1.391467e-01,-1.040000e-02
8.000000e-04,7.940667e-01,1.375867e-01,-9.866667e-03
8.200000e-04,7.799333e-01,-1.484000e-02,-1.066667e-02
8.400000e-04,7.714000e-01,-1.296400e-01,-1.186667e-02
8.600000e-04,7.648667e-01,-6.608000e-02,-1.066667e-02
8.800000e-04,7.571334e-01,9.101333e-02,-9.200000e-03
9.000000e-04,7.398000e-01,1.484667e-01,-1.120000e-02
9.200000e-04,7.169334e-01,3.697333e-02,-1.066667e-02
9.400000e-04,7.109333e-01,-1.000800e-01,-1.120000e-02
9.600000e-04,7.074000e-01,-9.414667e-02,-1.040000e-02
9.800000e-04,7.031333e-01,4.477333e-02,-9.600000e-03
1.000000e-03,7.013333e-01,1.418000e-01,-9.200000e-03
1.020000e-03,6.837333e-01,7.505333e-02,-1.120000e-02
1.040000e-03,6.761333e-01,-6.649333e-02,-1.160000e-02
1.060000e-03,6.774667e-01,-1.076000e-01,-1.173333e-02
1.080000e-03,6.819333e-01,1.253333e-03,-1.040000e-02
1.100000e-03,6.857333e-01,1.253067e-01,-1.040000e-02
1.120000e-03,6.699333e-01,1.082267e-01,-9.733333e-03
1.140000e-03,6.706667e-01,-2.610667e-02,-1.173333e-02
1.160000e-03,6.721333e-01,-1.123467e-01,-1.200000e-02
1.180000e-03,6.813334e-01,-4.434667e-02,-1.333333e-02
1.200000e-03,6.811333e-01,9.380000e-02,-9.733333e-03
1.220000e-03,6.759334e-01,1.328667e-01,-1.133333e-02
1.240000e-03,6.587334e-01,2.529333e-02,-1.026667e-02
1.260000e-03,6.587334e-01,-9.578667e-02,-1.386667e-02
1.280000e-03,6.686667e-01,-8.464000e-02,-1.120000e-02
1.300000e-03,6.613333e-01,4.452000e-02,-1.053333e-02
1.320000e-03,6.524667e-01,1.321200e-01,-1.106667e-02
1.340000e-03,6.242667e-01,7.313333e-02,-9.733333e-03
1.360000e-03,6.125333e-01,-5.292000e-02,-1.093333e-02
1.380000e-03,6.100000e-01,-9.760000e-02,-1.306667e-02
1.400000e-03,6.038667e-01,-7.960000e-03,-9.733333e-03
1.420000e-03,5.878000e-01,1.005067e-01,-9.600000e-03
1.440000e-03,5.642667e-01,1.017067e-01,-8.933334e-03
1.460000e-03,5.381333e-01,-3.946667e-03,-1.040000e-02
1.480000e-03,5.280000e-01,-8.124000e-02,-9.733333e-03
1.500000e-03,5.221334e-01,-4.268000e-02,-1.040000e-02
1.520000e-03,5.024000e-01,5.849333e-02,-9.333333e-03
1.540000e-03,4.730667e-01,9.680000e-02,-1.040000e-02
1.560000e-03,4.540667e-01,3.153333e-02,-1.066667e-02
1.580000e-03,4.321333e-01,-5.126667e-02,-1.306667e-02
1.600000e-03,4.268667e-01,-5.032000e-02,-1.146667e-02
1.620000e-03,4.190000e-01,2.728000e-02,-1.080000e-02
1.640000e-03,4.001333e-01,8.217333e-02,-1.106667e-02
1.660000e-03,3.732000e-01,4.650667e-02,-9.866667e-03
1.680000e-03,3.631333e-01,-2.817333e-02,-1.000000e-02
1.700000e-03,3.638000e-01,-4.804000e-02,-1.266667e-02
1.720000e-03,3.714667e-01,1.010667e-02,-9.466667e-03
1.740000e-03,3.578667e-01,6.962667e-02,-1.066667e-02
1.760000e-03,3.444000e-01,5.536000e-02,-9.866667e-03
1.780000e-03,3.425333e-01,-1.369333e-02,-9.333333e-03
1.800000e-03,3.461334e-01,-4.846667e-02,-1.373333e-02
1.820000e-03,3.578000e-01,-7.613333e-03,-8.533333e-03
1.840000e-03,3.550000e-01,5.960000e-02,-1.173333e-02
1.860000e-03,3.460667e-01,6.784000e-02,-9.600000e-03
1.880000e-03,3.376667e-01,8.520000e-03,-1.160000e-02
1.900000e-03,3.460000e-01,-4.537333e-02,-1.280000e-02
1.920000e-03,3.585333e-01,-2.813333e-02,-9.066666e-03
1.940000e-03,3.578000e-01,3.930667e-02,-9.333333e-03
1.960000e-03,3.452667e-01,7.316000e-02,-1.026667e-02
1.980000e-03,3.352000e-01,3.554667e-02,-9.733333e-03
2.000000e-03,3.291333e-01,-2.946667e-02,-9.600000e-03
2.020000e-03,3.290000e-01,-4.040000e-02,-1.240000e-02
2.040000e-03,3.264000e-01,9.800000e-03,-8.933334e-03
2.060000e-03,3.236000e-01,6.218667e-02,-1.120000e-02
2.080000e-03,2.983333e-01,5.333333e-02,-1.120000e-02
2.100000e-03,2.867333e-01,-9.066667e-04,-9.333333e-03
2.120000e-03,2.804667e-01,-3.566667e-02,-1.226667e-02
2.140000e-03,2.787333e-01,-1.120000e-02,-1.200000e-02
2.160000e-03,2.682667e-01,3.756000e-02,-1.173333e-02
2.180000e-03,2.457333e-01,5.332000e-02,-9.733333e-03
2.200000e-03,2.258667e-01,2.106667e-02,-7.600000e-03
2.220000e-03,2.076000e-01,-1.630667e-02,-5.466667e-03
2.240000e-03,2.120000e-01,-1.702667e-02,-8.800000e-03
2.260000e-03,2.035333e-01,1.814667e-02,-7.600000e-03
2.280000e-03,1.869333e-01,4.180000e-02,-1.000000e-02
2.300000e-03,1.716000e-01,2.945333e-02,-8.533333e-03
2.320000e-03,1.620667e-01,-3.306667e-03,-5.733334e-03
2.340000e-03,1.586667e-01,-1.254667e-02,-7.733333e-03
2.360000e-03,1.617333e-01,8.866667e-03,-9.600000e-03
2.380000e-03,1.480000e-01,3.202667e-02,-8.933334e-03
2.400000e-03,1.356667e-01,2.864000e-02,-9.466667e-03
2.420000e-03,1.326000e-01,7.440000e-03,-6.933333e-03
2.440000e-03,1.384000e-01,-9.026667e-03,-4.666667e-03
2.460000e-03,1.412000e-01,3.266667e-03,-8.533333e-03
2.480000e-03,1.386667e-01,2.566667e-02,-8.266667e-03
2.500000e-03,1.317333e-01,3.134667e-02,-8.133333e-03
2.520000e-03,1.186667e-01,1.542667e-02,-8.000000e-03
2.540000e-03,1.194667e-01,-3.466667e-03,-5.333333e-03
2.560000e-03,1.264667e-01,-2.800000e-03,-7.200000e-03
2.580000e-03,1.302000e-01,1.562667e-02,-9.733333e-03
2.600000e-03,1.222000e-01,3.012000e-02,-7.733333e-03
2.620000e-03,1.086667e-01,2.357333e-02,-9.333333e-03
2.640000e-03,1.027333e-01,8.053333e-03,-7.333334e-03
2.660000e-03,1.067333e-01,-2.946667e-03,-6.666667e-03
2.680000e-03,1.132667e-01,4.173333e-03,-8.000000e-03
2.700000e-03,1.151333e-01,1.974667e-02,-7.333334e-03
2.720000e-03,1.046000e-01,2.648000e-02,-8.800000e-03
2.740000e-03,9.526667e-02,2.054667e-02,-1.053333e-02
2.760000e-03,9.220000e-02,6.493333e-03,-9.200000e-03
2.780000e-03,9.960000e-02,-1.466667e-03,-8.133333e-03
2.800000e-03,1.014667e-01,4.360000e-03,-8.933334e-03
2.820000e-03,1.052000e-01,1.813333e-02,-7.600000e-03
2.840000e-03,9.540000e-02,2.486667e-02,-8.133333e-03
2.860000e-03,9.320000e-02,2.116000e-02,-9.866667e-03
2.880000e-03,8.760000e-02,8.226667e-03,-6.800000e-03
2.900000e-03,9.713333e-02,-2.133333e-04,-7.600000e-03
2.920000e-03,1.028667e-01,4.920000e-03,-7.333334e-03
2.940000e-03,1.041333e-01,1.674667e-02,-7.066667e-03
2.960000e-03,9.746667e-02,2.569333e-02,-9.600000e-03
2.980000e-03,9.453333e-02,1.988000e-02,-1.080000e-02
3.000000e-03,9.100000e-02,7.626667e-03,-8.666667e-03
3.020000e-03,9.720000e-02,-7.733333e-04,-1.000000e-02
3.040000e-03,1.000667e-01,8.080000e-03,-6.666667e-03
3.060000e-03,1.024667e-01,2.098667e-02,-7.066667e-03
3.080000e-03,9.873334e-02,2.614667e-02,-6.933333e-03
3.100000e-03,8.746666e-02,1.513333e-02,-9.733333e-03
3.120000e-03,8.380000e-02,3.653333e-03,-8.000000e-03
3.140000e-03,8.900000e-02,2.933333e-03,-6.000000e-03
3.160000e-03,8.913334e-02,1.537333e-02,-8.666667e-03
3.180000e-03,8.506667e-02,2.193333e-02,-7.200000e-03
3.200000e-03,7.753333e-02,1.653333e-02,-9.733333e-03
3.220000e-03,7.513333e-02,6.440000e-03,-9.333333e-03
3.240000e-03,7.566667e-02,6.640000e-03,-6.400000e-03
3.260000e-03,8.046667e-02,1.449333e-02,-7.466667e-03
3.280000e-03,8.653334e-02,2.193333e-02,-1.000000e-02
3.300000e-03,7.506667e-02,1.630667e-02,-8.533333e-03
3.320000e-03,7.733333e-02,4.800000e-03,-9.600000e-03
3.340000e-03,9.513333e-02,2.093333e-03,-8.400000e-03
3.360000e-03,1.042667e-01,1.638667e-02,-8.133333e-03
3.380000e-03,1.111333e-01,2.806667e-02,-7.466667e-03
3.400000e-03,1.040667e-01,2.122667e-02,-1.066667e-02
3.420000e-03,1.098667e-01,1.960000e-03,-7.733333e-03
3.440000e-03,1.308000e-01,-6.880000e-03,-7.066667e-03
3.460000e-03,1.380000e-01,9.226667e-03,-9.733333e-03
3.480000e-03,1.455333e-01,3.124000e-02,-9.600000e-03
3.500000e-03,1.478000e-01,3.349333e-02,-9.733333e-03
3.520000e-03,1.366000e-01,9.893334e-03,-6.266667e-03
3.540000e-03,1.516667e-01,-1.186667e-02,-8.133333e-03
3.560000e-03,1.684000e-01,-4.293333e-03,-6.266667e-03
3.580000e-03,1.719333e-01,2.409333e-02,-8.000000e-03
3.600000e-03,1.750000e-01,4.125333e-02,-9.333333e-03
3.620000e-03,1.714667e-01,2.446667e-02,-8.533333e-03
3.640000e-03,1.690000e-01,-7.466667e-03,-6.133333e-03
3.660000e-03,1.787333e-01,-1.498667e-02,-9.466667e-03
3.680000e-03,1.862667e-01,9.040000e-03,-5.866667e-03
3.700000e-03,1.853333e-01,3.890667e-02,-7.066667e-03
3.720000e-03,1.734667e-01,3.564000e-02,-7.600000e-03
3.740000e-03,1.694000e-01,5.506667e-03,-4.400000e-03
3.760000e-03,1.706000e-01,-1.544000e-02,-6.800000e-03
3.780000e-03,1.782000e-01,-2.240000e-03,-8.933334e-03
3.800000e-03,1.780667e-01,2.837333e-02,-6.666667e-03
3.820000e-03,1.688000e-01,3.954666e-02,-8.933334e-03
3.840000e-03,1.515333e-01,1.673333e-02,-6.133333e-03
3.860000e-03,1.596000e-01,-1.097333e-02,-7.066667e-03
3.880000e-03,1.652000e-01,-7.466667e-03,-7.066667e-03
3.900000e-03,1.702000e-01,2.076000e-02,-8.800000e-03
3.920000e-03,1.646667e-01,3.866667e-02,-9.066666e-03
