Time(s),CH1V,CH2V,CH4V
1.000000e-04,1.009867e+00,7.634667e-02,-1.213333e-02
1.200000e-04,9.985334e-01,-6.808000e-02,-1.360000e-02
1.400000e-04,9.899334e-01,-1.635467e-01,-1.146667e-02
1.600000e-04,9.828000e-01,-1.573467e-01,-1.133333e-02
1.800000e-04,9.764667e-01,-5.412000e-02,-1.173333e-02
2.000000e-04,9.644000e-01,8.358666e-02,-1.000000e-02
2.200000e-04,9.400667e-01,1.762133e-01,-9.866667e-03
2.400000e-04,9.238000e-01,1.745067e-01,-1.146667e-02
2.600000e-04,9.068667e-01,7.897333e-02,-1.000000e-02
2.800000e-04,8.940667e-01,-5.336000e-02,-1.346667e-02
3.000000e-04,8.797333e-01,-1.424000e-01,-1.080000e-02
3.200000e-04,8.790000e-01,-1.387333e-01,-1.080000e-02
3.400000e-04,8.778667e-01,-4.566666e-02,-1.320000e-02
3.600000e-04,8.713334e-01,7.946666e-02,-8.800000e-03
3.800000e-04,8.684000e-01,1.658133e-01,-1.053333e-02
4.000000e-04,8.525333e-01,1.588667e-01,-1.040000e-02
4.200000e-04,8.461334e-01,6.702667e-02,-1.120000e-02
4.400000e-04,8.452667e-01,-5.754667e-02,-1.226667e-02
4.600000e-04,8.514000e-01,-1.395733e-01,-1.173333e-02
4.800000e-04,8.604000e-01,-1.327467e-01,-1.160000e-02
5.000000e-04,8.712000e-01,-3.932000e-02,-1.133333e-02
5.200000e-04,8.777333e-01,8.609334e-02,-1.000000e-02
5.400000e-04,8.742000e-01,1.678800e-01,-1.040000e-02
5.600000e-04,8.683333e-01,1.609467e-01,-9.466667e-03
5.800000e-04,8.598000e-01,6.766666e-02,-1.133333e-02
6.000000e-04,8.618000e-01,-5.605333e-02,-1.173333e-02
6.200000e-04,8.612000e-01,-1.400933e-01,-1.280000e-02
6.400000e-04,8.702667e-01,-1.364267e-01,-1.160000e-02
6.600000e-04,8.738667e-01,-4.800000e-02,-1.026667e-02
6.800000e-04,8.670000e-01,7.377333e-02,-1.000000e-02
7.000000e-04,8.584000e-01,1.603733e-01,-8.400000e-03
7.200000e-04,8.512667e-01,1.634000e-01,-9.466667e-03
7.400000e-04,8.247333e-01,7.830667e-02,-1.093333e-02
7.600000e-04,8.158666e-01,-3.852000e-02,-1.386667e-02
7.800000e-04,8.058000e-01,-1.240533e-01,-1.266667e-02
8.000000e-04,8.038667e-01,-1.303333e-01,-1.346667e-02
8.200000e-04,8.014000e-01,-5.476000e-02,-1.080000e-02
8.400000e-04,7.902667e-01,5.770667e-02,-9.066666e-03
8.600000e-04,7.718000e-01,1.403333e-01,-8.666667e-03
