Time(s),CH1V
-4.960000e-02,3.440000e-02
-4.944000e-02,7.040000e-02
-4.928000e-02,9.293333e-02
-4.912000e-02,3.653333e-02
-4.896000e-02,4.560000e-02
-4.880000e-02,6.586666e-02
-4.864000e-02,5.466667e-02
-4.848000e-02,7.266667e-02
-4.832000e-02,5.466667e-02
-4.816000e-02,5.013333e-02
-4.800000e-02,7.040000e-02
-4.784000e-02,7.493334e-02
-4.768000e-02,7.933334e-02
-4.752000e-02,4.106667e-02
-4.736000e-02,6.586666e-02
-4.720000e-02,7.493334e-02
-4.704000e-02,6.133333e-02
-4.688000e-02,5.240000e-02
-4.672000e-02,2.306667e-02
-4.656000e-02,3.213333e-02
-4.640000e-02,4.560000e-02
-4.624000e-02,3.653333e-02
-4.608000e-02,5.680000e-02
-4.592000e-02,7.040000e-02
-4.576000e-02,6.586666e-02
-4.560000e-02,4.786667e-02
-4.544000e-02,8.386667e-02
-4.528000e-02,4.786667e-02
-4.512000e-02,7.266667e-02
-4.496000e-02,5.680000e-02
-4.480000e-02,5.466667e-02
-4.464000e-02,5.240000e-02
-4.448000e-02,4.786667e-02
-4.432000e-02,7.040000e-02
-4.416000e-02,5.680000e-02
-4.400000e-02,6.133333e-02
-4.384000e-02,7.266667e-02
-4.368000e-02,7.493334e-02
-4.352000e-02,6.133333e-02
-4.336000e-02,3.653333e-02
-4.320000e-02,7.933334e-02
-4.304000e-02,5.680000e-02
-4.288000e-02,5.680000e-02
-4.272000e-02,3.213333e-02
-4.256000e-02,6.813333e-02
-4.240000e-02,8.386667e-02
-4.224000e-02,9.066667e-02
-4.208000e-02,4.333333e-02
-4.192000e-02,6.360000e-02
-4.176000e-02,8.613333e-02
-4.160000e-02,2.986667e-02
-4.144000e-02,4.106667e-02
-4.128000e-02,5.466667e-02
-4.112000e-02,6.133333e-02
-4.096000e-02,6.813333e-02
-4.080000e-02,5.240000e-02
-4.064000e-02,6.586666e-02
-4.048000e-02,6.133333e-02
-4.032000e-02,4.560000e-02
-4.016000e-02,5.680000e-02
-4.000000e-02,5.680000e-02
-3.984000e-02,7.266667e-02
-3.968000e-02,5.906667e-02
