Time(s),CH1V,CH2V,CH4V
1.000000e-04,1.554933e+00,1.621333e-02,-1.160000e-02
1.200000e-04,1.527400e+00,3.053333e-01,-9.200000e-03
1.400000e-04,1.491267e+00,6.034667e-02,-1.120000e-02
1.600000e-04,1.467933e+00,-2.606933e-01,-1.133333e-02
1.800000e-04,1.441333e+00,-7.997333e-02,-1.053333e-02
2.000000e-04,1.404200e+00,2.537067e-01,-9.600000e-03
2.200000e-04,1.355133e+00,1.395200e-01,-1.120000e-02
2.400000e-04,1.306533e+00,-1.918667e-01,-1.106667e-02
2.600000e-04,1.275267e+00,-1.371200e-01,-9.733333e-03
2.800000e-04,1.225800e+00,1.791200e-01,-1.066667e-02
3.000000e-04,1.166467e+00,1.782000e-01,-9.066666e-03
3.200000e-04,1.112133e+00,-1.120667e-01,-9.866667e-03
3.400000e-04,1.072467e+00,-1.536400e-01,-1.213333e-02
3.600000e-04,1.013333e+00,1.017867e-01,-1.146667e-02
3.800000e-04,9.525334e-01,1.721733e-01,-9.333333e-03
4.000000e-04,8.794000e-01,-4.470666e-02,-1.546667e-02
4.200000e-04,8.262666e-01,-1.326533e-01,-1.213333e-02
4.400000e-04,7.799333e-01,4.458667e-02,-1.040000e-02
4.600000e-04,7.127333e-01,1.405733e-01,-9.733333e-03
4.800000e-04,6.469333e-01,-3.346667e-03,-9.733333e-03
5.000000e-04,5.920000e-01,-9.240000e-02,-1.306667e-02
5.200000e-04,5.457333e-01,2.009333e-02,-9.733333e-03
5.400000e-04,4.871333e-01,9.784000e-02,-1.160000e-02
5.600000e-04,4.254667e-01,5.853334e-03,-9.866667e-03
5.800000e-04,3.944667e-01,-5.485334e-02,-1.226667e-02
6.000000e-04,3.610000e-01,2.678667e-02,-1.240000e-02
6.200000e-04,3.322667e-01,6.556000e-02,-9.866667e-03
6.400000e-04,3.098667e-01,-1.452000e-02,-1.106667e-02
6.600000e-04,3.382000e-01,-3.309333e-02,-1.160000e-02
6.800000e-04,3.722667e-01,5.680000e-02,-1.200000e-02
7.000000e-04,3.972000e-01,5.966667e-02,-1.240000e-02
7.200000e-04,4.409333e-01,-4.852000e-02,-1.306667e-02
7.400000e-04,5.028000e-01,-4.285333e-02,-1.320000e-02
7.600000e-04,5.585333e-01,8.848000e-02,-1.026667e-02
7.800000e-04,5.978667e-01,8.544000e-02,-1.200000e-02
8.000000e-04,6.464667e-01,-7.278667e-02,-1.226667e-02
8.200000e-04,7.126667e-01,-8.334666e-02,-1.106667e-02
8.400000e-04,7.688667e-01,1.020933e-01,-9.066666e-03
8.600000e-04,8.129333e-01,1.378667e-01,-1.000000e-02
8.800000e-04,8.544667e-01,-6.962667e-02,-1.266667e-02
9.000000e-04,9.094000e-01,-1.402267e-01,-1.146667e-02
9.200000e-04,9.611334e-01,8.037333e-02,-9.733333e-03
9.400000e-04,9.909334e-01,1.900667e-01,-1.280000e-02
9.600000e-04,1.018800e+00,-3.113333e-02,-1.133333e-02
9.800000e-04,1.059867e+00,-1.861200e-01,-1.306667e-02
1.000000e-03,1.102133e+00,2.530667e-02,-9.733333e-03
1.020000e-03,1.131867e+00,2.272933e-01,-1.173333e-02
1.040000e-03,1.140133e+00,3.662667e-02,-1.106667e-02
1.060000e-03,1.168467e+00,-2.041200e-01,-1.200000e-02
1.080000e-03,1.191133e+00,-4.961333e-02,-1.026667e-02
1.100000e-03,1.209067e+00,2.259333e-01,-1.066667e-02
1.120000e-03,1.203067e+00,1.117467e-01,-1.186667e-02
1.140000e-03,1.216000e+00,-1.874133e-01,-1.293333e-02
1.160000e-03,1.229467e+00,-1.237867e-01,-1.213333e-02
1.180000e-03,1.233533e+00,1.875600e-01,-1.133333e-02
1.200000e-03,1.218600e+00,1.777733e-01,-9.466667e-03
1.220000e-03,1.211467e+00,-1.322800e-01,-1.200000e-02
1.240000e-03,1.213600e+00,-1.742267e-01,-1.226667e-02
1.260000e-03,1.211400e+00,1.246667e-01,-9.466667e-03
1.280000e-03,1.194000e+00,2.175600e-01,-9.600000e-03
1.300000e-03,1.170600e+00,-6.169333e-02,-1.266667e-02
1.320000e-03,1.163867e+00,-1.975867e-01,-1.053333e-02
1.340000e-03,1.157533e+00,4.862667e-02,-9.333333e-03
1.360000e-03,1.126333e+00,2.209200e-01,-1.146667e-02
1.380000e-03,1.098600e+00,1.110667e-02,-1.293333e-02
1.400000e-03,1.079067e+00,-1.874000e-01,-1.120000e-02
1.420000e-03,1.064533e+00,-1.886667e-02,-1.026667e-02
1.440000e-03,1.035467e+00,1.988133e-01,-1.146667e-02
1.460000e-03,9.955333e-01,7.244000e-02,-1.120000e-02
1.480000e-03,9.652000e-01,-1.508267e-01,-1.133333e-02
1.500000e-03,9.457334e-01,-6.801333e-02,-1.146667e-02
1.520000e-03,9.062667e-01,1.524933e-01,-8.400000e-03
1.540000e-03,8.683333e-01,1.077333e-01,-1.266667e-02
1.560000e-03,8.296667e-01,-1.037600e-01,-1.266667e-02
