Time(s),CH1V,CH4V
-3.500000e-02,4.773333e-02,-2.026667e-02
-3.480000e-02,5.453333e-02,9.866667e-03
-3.460000e-02,4.560000e-02,-2.933333e-03
-3.440000e-02,6.800000e-02,9.866667e-03
-3.420000e-02,4.106667e-02,-2.933333e-03
-3.400000e-02,4.333333e-02,1.866667e-02
-3.380000e-02,7.480000e-02,-1.173333e-02
-3.360000e-02,3.426667e-02,9.866667e-03
-3.340000e-02,3.653333e-02,9.866667e-03
-3.320000e-02,4.106667e-02,1.333333e-03
-3.300000e-02,4.773333e-02,1.866667e-02
-3.280000e-02,5.906667e-02,1.333333e-03
-3.260000e-02,4.106667e-02,9.866667e-03
-3.240000e-02,4.773333e-02,-7.466667e-03
-3.220000e-02,3.653333e-02,1.413333e-02
-3.200000e-02,5.680000e-02,-1.600000e-02
-3.180000e-02,4.560000e-02,1.866667e-02
-3.160000e-02,2.533333e-02,-2.026667e-02
-3.140000e-02,2.306667e-02,5.600000e-03
-3.120000e-02,1.400000e-02,-2.026667e-02
-3.100000e-02,4.106667e-02,-2.933333e-03
-3.080000e-02,3.880000e-02,-2.933333e-03
-3.060000e-02,3.426667e-02,-1.173333e-02
-3.040000e-02,6.360000e-02,-2.026667e-02
-3.020000e-02,2.306667e-02,5.600000e-03
-3.000000e-02,5.680000e-02,1.413333e-02
-2.980000e-02,4.560000e-02,-7.466667e-03
-2.960000e-02,3.200000e-02,-2.026667e-02
-2.940000e-02,3.880000e-02,-1.600000e-02
-2.920000e-02,3.426667e-02,1.333333e-03
-2.900000e-02,4.560000e-02,5.600000e-03
-2.880000e-02,4.773333e-02,-1.600000e-02
-2.860000e-02,2.746667e-02,-1.600000e-02
-2.840000e-02,3.880000e-02,-7.466667e-03
-2.820000e-02,4.106667e-02,9.866667e-03
-2.800000e-02,5.680000e-02,5.600000e-03
-2.780000e-02,5.226667e-02,5.600000e-03
-2.760000e-02,6.800000e-02,9.866667e-03
-2.740000e-02,3.653333e-02,-2.933333e-03
-2.720000e-02,5.226667e-02,1.333333e-03
-2.700000e-02,4.106667e-02,-1.173333e-02
-2.680000e-02,4.560000e-02,1.333333e-03
-2.660000e-02,1.853333e-02,9.866667e-03
-2.640000e-02,2.080000e-02,5.600000e-03
-2.620000e-02,5.906667e-02,-1.173333e-02
-2.600000e-02,5.906667e-02,1.333333e-03
-2.580000e-02,5.000000e-02,-2.933333e-03
-2.560000e-02,2.746667e-02,-7.466667e-03
-2.540000e-02,3.653333e-02,-2.933333e-03
-2.520000e-02,3.653333e-02,9.866667e-03
-2.500000e-02,4.560000e-02,1.333333e-03
-2.480000e-02,3.880000e-02,-2.933333e-03
-2.460000e-02,5.453333e-02,-2.933333e-03
-2.440000e-02,4.560000e-02,1.333333e-03
-2.420000e-02,4.560000e-02,9.866667e-03
-2.400000e-02,3.426667e-02,-2.026667e-02
-2.380000e-02,2.533333e-02,-2.933333e-03
-2.360000e-02,4.773333e-02,1.333333e-03
-2.340000e-02,2.306667e-02,-7.466667e-03
-2.320000e-02,4.106667e-02,-1.600000e-02
-2.300000e-02,3.653333e-02,1.866667e-02
-2.280000e-02,3.426667e-02,-1.600000e-02
