Time(s),CH1V,CH4V
-3.780000e-02,2.666667e-02,-3.760000e-02
-3.770000e-02,5.226667e-02,-3.760000e-02
-3.760000e-02,2.240000e-02,-2.480000e-02
-3.750000e-02,5.653333e-02,-5.066667e-02
-3.740000e-02,4.800000e-02,-4.640000e-02
-3.730000e-02,1.813333e-02,-3.333334e-02
-3.720000e-02,5.226667e-02,-3.760000e-02
-3.710000e-02,2.666667e-02,-6.346667e-02
-3.700000e-02,2.666667e-02,-2.906667e-02
-3.690000e-02,4.800000e-02,-4.186667e-02
-3.680000e-02,3.093333e-02,-3.760000e-02
-3.670000e-02,4.373333e-02,-2.026667e-02
-3.660000e-02,7.786667e-02,-2.026667e-02
-3.650000e-02,4.800000e-02,-3.760000e-02
-3.640000e-02,5.653333e-02,-3.760000e-02
-3.630000e-02,3.946667e-02,-2.026667e-02
-3.620000e-02,1.386667e-02,-5.920000e-02
-3.610000e-02,2.666667e-02,-2.480000e-02
-3.600000e-02,2.666667e-02,-2.480000e-02
-3.590000e-02,2.240000e-02,-2.906667e-02
-3.580000e-02,2.666667e-02,-4.186667e-02
-3.570000e-02,3.520000e-02,-2.906667e-02
-3.560000e-02,6.080000e-02,-3.760000e-02
-3.550000e-02,3.946667e-02,-2.906667e-02
-3.540000e-02,2.666667e-02,-2.480000e-02
-3.530000e-02,4.373333e-02,-3.760000e-02
-3.520000e-02,6.080000e-02,-5.066667e-02
-3.510000e-02,6.080000e-02,-3.760000e-02
-3.500000e-02,3.093333e-02,-3.760000e-02
-3.490000e-02,1.813333e-02,-2.906667e-02
-3.480000e-02,9.600000e-03,-3.760000e-02
-3.470000e-02,1.813333e-02,-5.920000e-02
-3.460000e-02,3.946667e-02,-1.600000e-02
-3.450000e-02,4.800000e-02,-2.906667e-02
-3.440000e-02,4.800000e-02,-3.333334e-02
-3.430000e-02,6.933334e-02,-4.640000e-02
-3.420000e-02,5.226667e-02,-3.760000e-02
-3.410000e-02,2.240000e-02,-2.906667e-02
-3.400000e-02,4.800000e-02,-1.600000e-02
-3.390000e-02,1.813333e-02,-3.760000e-02
-3.380000e-02,2.666667e-02,-2.480000e-02
-3.370000e-02,4.373333e-02,-3.760000e-02
-3.360000e-02,1.813333e-02,-5.066667e-02
-3.350000e-02,9.600000e-03,-1.600000e-02
-3.340000e-02,3.520000e-02,-1.600000e-02
-3.330000e-02,4.373333e-02,-3.760000e-02
-3.320000e-02,2.240000e-02,-1.600000e-02
-3.310000e-02,1.813333e-02,-2.480000e-02
-3.300000e-02,5.226667e-02,-2.906667e-02
-3.290000e-02,5.333333e-03,-1.600000e-02
-3.280000e-02,3.520000e-02,-4.186667e-02
-3.270000e-02,2.666667e-02,-2.906667e-02
-3.260000e-02,4.800000e-02,-4.186667e-02
-3.250000e-02,3.520000e-02,-2.933333e-03
-3.240000e-02,6.080000e-02,-4.186667e-02
-3.230000e-02,2.666667e-02,-3.760000e-02
-3.220000e-02,3.946667e-02,-4.186667e-02
-3.210000e-02,1.813333e-02,-2.906667e-02
-3.200000e-02,1.386667e-02,-3.760000e-02
-3.190000e-02,4.800000e-02,-3.333334e-02
-3.180000e-02,4.800000e-02,-1.600000e-02
-3.170000e-02,3.520000e-02,-2.480000e-02
-3.160000e-02,1.386667e-02,-3.760000e-02
-3.150000e-02,3.093333e-02,-3.760000e-02
